PLZ4,PLZZ,PLZNAMK,%_IN_GDE,KTKZ,GDENR,GDENAMK
1000,25,Lausanne 25,1.94,VD,5586,Lausanne
1000,26,Lausanne 26,3.92,VD,5586,Lausanne
1000,27,Lausanne 27,1.17,VD,5586,Lausanne
1003,0,Lausanne,9.7,VD,5586,Lausanne
1004,0,Lausanne,16.2,VD,5586,Lausanne
1005,0,Lausanne,9.66,VD,5586,Lausanne
1006,0,Lausanne,8.92,VD,5586,Lausanne
1007,0,Lausanne,14.56,VD,5586,Lausanne
1008,0,Prilly,100,VD,5589,Prilly
1008,0,Prilly,0.06,VD,5591,Renens (VD)
1008,2,Jouxtens-Mézery,100,VD,5585,Jouxtens-Mézery
1009,0,Pully,97.91,VD,5590,Pully
1010,0,Lausanne,10,VD,5586,Lausanne
1011,0,Lausanne,0.11,VD,5586,Lausanne
1012,0,Lausanne,11.77,VD,5586,Lausanne
1015,0,Lausanne,1.21,VD,5627,Chavannes-près-Renens
1015,0,Lausanne,3.58,VD,5635,Ecublens (VD)
1015,0,Lausanne,0.14,VD,5648,Saint-Sulpice (VD)
1018,0,Lausanne,9.99,VD,5586,Lausanne
1020,0,Renens VD,99.94,VD,5591,Renens (VD)
1022,0,Chavannes-Renens,98.79,VD,5627,Chavannes-près-Renens
1023,0,Crissier,99.77,VD,5583,Crissier
1023,0,Crissier,0.05,VD,5586,Lausanne
1024,0,Ecublens VD,96.42,VD,5635,Ecublens (VD)
1025,0,St-Sulpice VD,99.86,VD,5648,Saint-Sulpice (VD)
1026,2,Denges,100,VD,5632,Denges
1026,3,Echandens,100,VD,5633,Echandens
1027,0,Lonay,100,VD,5638,Lonay
1028,0,Préverenges,100,VD,5643,Préverenges
1029,0,Villars-Ste-Croix,100,VD,5651,Villars-Sainte-Croix
1030,0,Bussigny,100,VD,5624,Bussigny
1031,0,Mex VD,100,VD,5489,Mex (VD)
1031,0,Mex VD,0.5,VD,5503,Vufflens-la-Ville
1032,0,Romanel-s-Lausanne,1,VD,5586,Lausanne
1032,0,Romanel-s-Lausanne,100,VD,5592,Romanel-sur-Lausanne
1033,0,Cheseaux-Lausanne,100,VD,5582,Cheseaux-sur-Lausanne
1033,0,Cheseaux-Lausanne,0.23,VD,5583,Crissier
1033,0,Cheseaux-Lausanne,0.51,VD,5586,Lausanne
1034,0,Boussens,100,VD,5473,Boussens
1035,0,Bournens,100,VD,5472,Bournens
1036,0,Sullens,100,VD,5501,Sullens
1037,0,Etagnières,100,VD,5521,Etagnières
1038,0,Bercher,100,VD,5512,Bercher
1038,0,Bercher,0.76,VD,5661,Boulens
1038,0,Bercher,0.21,VD,5693,Montanaire
1040,0,Echallens,100,VD,5518,Echallens
1040,0,Echallens,0.29,VD,5537,Villars-le-Terroir
1040,2,Villars-le-Terroir,99.71,VD,5537,Villars-le-Terroir
1040,3,St-Barthélemy VD,100,VD,5535,Saint-Barthélemy (VD)
1041,21,Dommartin,16.8,VD,5540,Montilliez
1041,22,Montaubion-Chardon,8.56,VD,5804,Jorat-Menthue
1041,26,Naz,10.81,VD,5540,Montilliez
1041,31,Poliez-le-Grand,48.46,VD,5540,Montilliez
1041,32,Poliez-Pittet,100,VD,5533,Poliez-Pittet
1041,33,Bottens,100,VD,5514,Bottens
1042,0,Assens,100,VD,5511,Assens
1042,3,Bioley-Orjulaz,100,VD,5513,Bioley-Orjulaz
1042,4,Bettens,98.06,VD,5471,Bettens
1043,0,Sugnens,23.94,VD,5540,Montilliez
1044,0,Fey,100,VD,5522,Fey
1045,0,Ogens,100,VD,5680,Ogens
1045,0,Ogens,1.04,VD,5903,Bioley-Magnoux
1046,0,Rueyres,99.06,VD,5534,Rueyres
1047,0,Oppens,0.94,VD,5534,Rueyres
1047,0,Oppens,100,VD,5923,Oppens
1052,0,Mont-sur-Lausanne,0.04,VD,5586,Lausanne
1052,0,Mont-sur-Lausanne,100,VD,5587,Le Mont-sur-Lausanne
1053,0,Cugy VD,0.62,VD,5515,Bretigny-sur-Morrens
1053,0,Cugy VD,100,VD,5516,Cugy (VD)
1053,0,Cugy VD,0.46,VD,5586,Lausanne
1053,2,Bretigny-Morrens,99.38,VD,5515,Bretigny-sur-Morrens
1054,0,Morrens VD,100,VD,5527,Morrens (VD)
1055,0,Froideville,100,VD,5523,Froideville
1058,0,Villars-Tiercelin,29.51,VD,5804,Jorat-Menthue
1059,0,Peney-le-Jorat,2.48,VD,5673,Hermenches
1059,0,Peney-le-Jorat,24.41,VD,5804,Jorat-Menthue
1061,0,Villars-Mendraz,17.49,VD,5804,Jorat-Menthue
1062,0,Sottens,19.85,VD,5804,Jorat-Menthue
1063,0,Chapelle-s-Moudon,19.3,VD,5693,Montanaire
1063,2,Martherenges,2.57,VD,5693,Montanaire
1063,3,Boulens,99.24,VD,5661,Boulens
1063,4,Peyres-Possens,6.06,VD,5693,Montanaire
1063,4,Peyres-Possens,0.18,VD,5804,Jorat-Menthue
1066,0,Epalinges,100,VD,5584,Epalinges
1066,0,Epalinges,0.01,VD,5586,Lausanne
1068,0,Les Monts-de-Pully,2.09,VD,5590,Pully
1070,0,Puidoux,94.56,VD,5607,Puidoux
1070,0,Puidoux,0.12,VD,5613,Bourg-en-Lavaux
1070,0,Puidoux,0.11,VD,5882,Chardonne
1071,0,Chexbres,100,VD,5601,Chexbres
1071,0,Chexbres,0.91,VD,5609,Rivaz
1071,0,Chexbres,44.69,VD,5610,Saint-Saphorin (Lavaux)
1071,0,Chexbres,1.62,VD,5882,Chardonne
1071,1,Rivaz,0.12,VD,5607,Puidoux
1071,1,Rivaz,99.09,VD,5609,Rivaz
